Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Total_income,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
0,5.64082159022986,30.0,1.0,1,1.8797823036422818,1,1,0,0,1,0
2,5.499704614696026,30.0,1.0,1,1.880244935601692,1,1,1,0,0,1
0,4.000855591557901,30.0,1.0,0,1.8597696233366277,1,0,1,0,0,1
2,5.61822967870542,30.0,1.0,1,1.881343076787601,0,0,0,0,1,0
1,6.334826790700182,30.0,1.0,0,1.8838468276132097,1,1,0,0,0,1
0,4.96813931958063,30.0,1.0,0,1.873814688146401,1,0,0,0,0,1
1,5.449451324461352,30.0,1.0,0,1.8789325000244483,1,0,0,1,0,0
0,5.548277748664887,30.0,1.0,1,1.880034549739985,1,1,0,0,1,0
3,7.00182293163148,30.0,1.0,0,1.8893303457462527,1,0,0,0,0,0
0,5.370643883898375,30.0,0.0,0,1.8737736423305502,1,1,0,0,0,1
0,5.8687740253460055,30.0,1.0,1,1.879945609602769,0,1,0,0,1,0
0,6.2103435603186465,30.0,1.0,1,1.887230392596338,1,0,0,0,0,1
0,5.499704614696026,30.0,1.0,1,1.8805524541728822,1,0,1,0,1,0
0,5.071598646008971,30.0,1.0,0,1.8756007343886874,1,0,0,0,0,1
0,4.376091741100092,30.0,1.0,1,1.8730867581962976,1,0,0,0,0,1
0,4.9859149883252565,30.0,1.0,1,1.8695117501422776,1,1,0,0,0,1
0,5.769513120461984,30.0,1.0,1,1.8820952715774364,1,1,0,0,1,0
0,5.315610969092569,30.0,1.0,1,1.8789399902189132,1,1,1,1,0,1
0,5.198796608902379,30.0,1.0,1,1.874859700525879,0,0,0,0,0,1
1,4.291510044942584,30.0,1.0,1,1.8810052047464911,1,1,0,0,0,1
0,5.8687740253460055,30.0,1.0,1,1.8813215395326708,1,1,0,0,0,1
0,5.61822967870542,30.0,0.0,0,1.8817802855193926,0,1,0,0,0,1
0,5.8687740253460055,30.0,1.0,1,1.8820920664565413,0,0,0,0,1,0
0,5.370643883898375,30.0,1.0,1,1.8754953198455064,0,1,1,0,1,0
0,5.61822967870542,30.0,1.0,1,1.8734387252547073,0,0,0,0,1,0
0,5.524193909103803,30.0,1.0,0,1.877683872268759,0,0,0,0,1,0
2,5.769513120461984,30.0,1.0,0,1.8787402771691895,1,1,0,0,0,1
1,6.838847537276609,30.0,0.0,0,1.8873099117239314,0,1,0,1,0,1
2,5.329567382308179,30.0,1.0,1,1.8765735388603508,1,1,0,0,1,0
0,5.315610969092569,30.0,1.0,1,1.8760493907930018,1,1,0,0,1,0
0,5.779745387288195,30.0,1.0,0,1.8808472440612363,1,1,0,0,0,0
1,6.1794936067304,30.0,1.0,1,1.8865025879780608,1,1,0,0,0,1
2,5.8687740253460055,30.0,1.0,1,1.8819968085138914,1,1,1,0,0,1
0,5.61822967870542,30.0,1.0,1,1.882125642697789,1,1,0,0,0,1
3,5.357081248077048,30.0,1.0,1,1.873165008122087,1,1,0,0,0,1
0,6.057795717265232,15.0,0.0,0,1.8817347727018205,1,1,1,1,0,0
0,5.571969785568005,30.0,0.0,0,1.877494416257478,0,0,0,0,1,0
0,6.690405987694071,30.0,1.0,0,1.8864958411866626,1,1,0,0,1,0
0,5.684985220588923,15.0,0.0,0,1.8806283031579973,1,0,1,0,0,1
1,6.964985814852975,30.0,1.0,1,1.8868077907863066,1,1,0,0,0,1
3,5.6740685305329,5.0,1.0,1,1.8832950065455738,1,1,1,1,0,1
0,5.789907041600923,30.0,0.0,0,1.8778861441353443,0,0,0,0,1,0
0,6.115821895982456,30.0,1.0,1,1.8820904633114544,1,1,0,0,0,1
2,5.329567382308179,30.0,1.0,1,1.8761448592159642,1,1,1,1,1,0
0,5.088132618507269,25.0,1.0,1,1.8752183674470806,1,0,0,0,1,0
3,5.301517980921143,30.0,0.0,0,1.879088276629355,1,1,1,0,1,0
3,6.233072280456131,30.0,1.0,1,1.8832148346983166,1,1,0,1,1,0
0,5.536285640856728,40.0,1.0,0,1.8761448592159642,1,0,0,0,0,1
0,6.147995982030709,30.0,1.0,0,1.8849135633605079,1,0,0,0,0,1
1,5.499704614696026,30.0,1.0,0,1.8770514344096436,1,1,0,1,0,1
3,6.1794936067304,25.0,0.0,0,1.883383318767229,1,1,0,0,1,0
3,5.72785712068039,30.0,1.0,1,1.8807170880052577,1,1,1,1,1,0
0,5.512000825111893,30.0,1.0,1,1.8764759819424033,0,0,0,0,1,0
2,6.074605923303577,30.0,1.0,0,1.8742242993335265,0,1,0,0,0,1
0,6.728878892869815,30.0,1.0,0,1.8846555700155523,1,1,0,0,1,0
1,4.455769238607149,20.0,1.0,1,1.8769432942433164,1,1,0,0,0,1
0,5.789907041600923,30.0,1.0,1,1.8794281136622453,1,0,0,0,1,0
2,5.357081248077048,30.0,1.0,1,1.8803839246405176,1,1,1,0,1,0
0,5.423656128997128,30.0,1.0,1,1.878745397436721,1,1,0,0,1,0
0,6.396796543941885,30.0,1.0,1,1.884979749671617,1,0,0,0,0,1
0,6.140017045674485,30.0,1.0,1,1.8861393872427523,1,1,0,0,1,0
0,5.738382299244604,30.0,1.0,1,1.881387729655449,1,1,0,0,1,0
2,6.240572814359115,15.0,1.0,1,1.88756016730994,1,1,0,0,1,0
2,5.088132618507269,30.0,1.0,1,1.8798732313442401,1,1,1,0,0,1
0,5.64082159022986,30.0,1.0,1,1.8773949830012502,1,0,0,0,1,0
0,3.5812917611889366,10.0,1.0,1,1.8756752675854675,1,0,1,0,1,0
0,5.799999084564698,30.0,1.0,1,1.8791637775477654,0,1,0,0,1,0
0,4.455769238607149,30.0,1.0,1,1.8728933393396845,1,1,0,0,1,0
0,5.560171916509316,15.0,1.0,1,1.8775600399010446,1,1,1,0,1,0
0,5.738382299244604,30.0,1.0,1,1.8803158024335747,1,1,0,0,1,0
2,5.75920921795321,15.0,1.0,1,1.8838661948745001,1,1,1,0,0,1
0,5.934491784217392,30.0,1.0,1,1.885061887579737,1,0,0,0,1,0
0,6.014922010214485,30.0,1.0,1,1.8786215687781398,1,1,0,0,0,1
1,5.370643883898375,30.0,1.0,1,1.877238906932735,1,1,0,0,0,1
2,6.494763563374403,30.0,1.0,1,1.8879306054102787,1,1,0,0,0,1
0,5.61822967870542,30.0,1.0,0,1.8835967946053027,1,0,1,0,0,0
2,6.436744834210636,30.0,0.0,0,1.8836808798907703,1,1,0,0,0,1
3,5.287285622362954,40.0,1.0,1,1.8721172046695944,1,1,1,0,1,0
0,5.789907041600923,30.0,1.0,1,1.8803489119705694,1,0,0,0,0,1
0,5.819978234837658,30.0,1.0,1,1.88023655241787,0,1,0,0,1,0
0,5.943646585011864,30.0,0.0,0,1.8840271493918923,1,1,1,0,0,0
0,5.595282986640945,30.0,1.0,1,1.8797778393485405,1,0,0,0,1,0
1,6.2179580485749195,15.0,1.0,1,1.8889429375297275,1,1,0,0,0,0
0,5.961788496308474,30.0,1.0,1,1.8806203570747095,0,1,0,0,1,0
1,5.152414910243167,30.0,1.0,1,1.875645529885597,1,1,0,0,0,1
0,6.140017045674485,30.0,1.0,0,1.884055312438924,1,1,0,0,0,0
0,6.695961429870923,30.0,1.0,1,1.8865606867780218,0,0,0,0,0,1
0,6.1794936067304,30.0,1.0,1,1.8847435721967776,1,1,0,0,0,0
0,4.291510044942584,30.0,1.0,1,1.877494416257478,0,0,0,0,1,0
0,5.799999084564698,30.0,0.0,1,1.8870599539648585,0,0,0,0,1,0
2,5.088132618507269,30.0,1.0,1,1.8728078126603915,1,1,0,0,1,0
0,6.2848078131224705,30.0,1.0,1,1.882154286603649,1,1,1,0,0,0
0,5.272911010269123,30.0,1.0,1,1.8759384675489246,0,0,0,0,0,0
3,7.214238377852861,30.0,1.0,1,1.8917309834769995,1,1,0,0,0,0
1,6.014922010214485,15.0,0.0,0,1.8888444202273482,1,1,0,1,0,1
0,6.194997815912515,30.0,1.0,0,1.885061887579737,1,1,0,0,0,0
0,8.057946428276956,40.0,1.0,1,1.8908666557085716,1,0,0,1,0,1
0,4.96813931958063,30.0,1.0,1,1.8767979849923073,1,0,0,0,0,1
0,4.894715146761467,30.0,1.0,1,1.8715202022686785,1,0,0,0,1,0
0,3.5812917611889366,10.0,1.0,1,1.8750567411162133,1,1,0,1,1,0
0,5.397392955560206,30.0,1.0,1,1.8794234319107572,1,0,0,0,1,0
3,6.8589343142088985,30.0,1.0,0,1.8874663225176418,1,1,0,0,1,0
0,5.136613782339565,30.0,1.0,0,1.8786553010489935,0,1,0,0,0,0
2,5.198796608902379,30.0,1.0,1,1.8829060663454353,1,1,0,1,0,1
0,6.598668522946217,30.0,0.0,0,1.8891231639861248,1,0,0,0,1,0
2,5.717255980271127,30.0,1.0,0,1.8809693588995438,1,1,1,0,0,0
2,6.2179580485749195,30.0,1.0,0,1.8833281070466155,1,1,0,0,0,0
0,6.0829405713838645,30.0,1.0,1,1.8805544605956246,1,0,0,0,0,1
0,6.140017045674485,15.0,1.0,1,1.8830926019593348,1,0,0,1,1,0
0,5.64082159022986,30.0,1.0,1,1.879031772706159,1,1,0,0,1,0
2,6.233072280456131,15.0,1.0,1,1.8874706288456722,1,1,0,0,0,1
0,5.370643883898375,30.0,1.0,1,1.8829060663454353,0,1,0,0,1,0
2,4.894715146761467,30.0,1.0,1,1.8890663811208206,0,1,0,0,0,1
1,3.8074955093901885,30.0,1.0,1,1.8728380840393222,1,1,0,0,0,1
0,6.494763563374403,30.0,1.0,0,1.8874143393871923,0,0,0,0,0,0
0,5.6740685305329,30.0,1.0,1,1.881081933096584,1,1,0,0,1,0
0,5.595282986640945,30.0,0.0,0,1.8820952715774364,1,0,0,0,0,0
0,5.943646585011864,30.0,1.0,1,1.8821748964897391,1,1,0,1,0,0
0,6.610440651498667,30.0,1.0,0,1.8855477126606255,1,0,0,0,0,1
2,5.536285640856728,30.0,1.0,0,1.8686522775221464,1,1,1,0,0,0
0,4.455769238607149,30.0,1.0,1,1.8742024928974221,1,0,0,0,0,1
3,7.936199175273551,15.0,0.0,1,1.8939969364236688,1,1,0,0,1,0
1,6.014922010214485,30.0,1.0,1,1.8816359496284023,1,1,0,0,0,0
1,6.233072280456131,30.0,1.0,1,1.8858721532756622,1,1,0,0,0,1
0,5.61822967870542,30.0,1.0,1,1.879806809137121,1,0,0,0,0,0
0,6.673618052662472,30.0,1.0,1,1.886410360420227,1,1,0,0,1,0
0,5.343389931822399,30.0,1.0,1,1.8725362829598653,1,1,1,0,1,0
0,6.782223611503332,30.0,1.0,0,1.884310748084413,1,1,0,0,0,1
1,5.629569271310135,30.0,0.0,0,1.8780806680887612,1,1,0,0,1,0
2,5.997420909860942,30.0,1.0,1,1.8809390294375556,1,1,0,0,0,0
0,4.9859149883252565,15.0,1.0,1,1.885687048780722,1,1,0,0,0,1
0,6.194997815912515,30.0,1.0,1,1.8829860916926364,1,1,0,0,0,0
0,5.524193909103803,30.0,1.0,0,1.8786553010489935,0,1,0,0,0,0
0,5.717255980271127,30.0,1.0,1,1.8812328876731486,1,1,0,0,0,0
0,4.756230531935393,40.0,0.0,0,1.8683169475586954,1,0,0,0,1,0
2,6.327781875682761,30.0,1.0,1,1.8843853630861782,1,1,0,0,1,0
0,5.301517980921143,30.0,1.0,1,1.8755594712205572,1,1,1,0,0,0
3,8.171234229061929,25.0,1.0,1,1.8949123589757366,1,1,0,0,0,1
3,5.088132618507269,15.0,1.0,0,1.8753039078568225,1,1,1,0,0,0
0,6.233072280456131,30.0,1.0,1,1.8872025078329184,1,1,0,0,1,0
0,5.183502520758849,30.0,1.0,0,1.8798445218843214,1,1,1,1,1,0
0,5.571969785568005,30.0,1.0,1,1.8806421874269126,1,1,0,0,0,0
2,5.384080317537037,30.0,1.0,1,1.8758370501771493,1,1,0,0,0,0
3,7.64617960095553,30.0,0.0,0,1.8898290080378621,1,1,0,0,1,0
1,5.571969785568005,30.0,1.0,1,1.8761448592159642,1,1,0,0,1,0
0,5.397392955560206,40.0,0.0,0,1.8762635970897266,1,0,1,0,0,1
1,6.1794936067304,30.0,0.0,0,1.8885086384614314,1,1,0,0,0,1
0,4.8370260212769125,30.0,1.0,0,1.8831322506327834,1,0,0,0,0,0
0,4.950137654977636,15.0,1.0,1,1.8786991928032086,1,1,0,0,1,0
1,6.701496856037804,30.0,1.0,0,1.893334050659717,1,1,0,0,1,0
0,5.474795478432017,30.0,1.0,1,1.8756938027720076,0,1,0,0,1,0
0,5.61822967870542,30.0,1.0,1,1.8943415108280595,1,1,0,1,1,0
1,4.817258701477402,25.0,0.0,0,1.86785117002414,1,1,0,1,0,0
0,4.648205401896998,30.0,1.0,1,1.878493096258383,1,1,0,0,0,0
0,6.0829405713838645,30.0,1.0,1,1.8815842602568529,1,1,0,1,0,0
0,6.240572814359115,15.0,1.0,1,1.8856914273526584,1,1,0,0,0,0
0,4.403166354963966,30.0,1.0,1,1.8793999792942608,1,0,1,0,0,0
0,6.049319055775303,30.0,1.0,0,1.8876177359222053,1,0,0,0,1,0
0,6.014922010214485,30.0,1.0,0,1.8816923543430935,1,1,1,0,0,1
0,5.0034704556017955,30.0,1.0,1,1.876516486029422,1,0,0,0,1,0
0,5.61822967870542,30.0,1.0,1,1.8775689478295203,1,0,0,0,0,0
1,6.099471644692564,30.0,1.0,0,1.8811153527664362,1,1,0,0,1,0
0,6.233072280456131,30.0,1.0,1,1.8876669452295916,1,0,0,0,0,0
0,5.61822967870542,30.0,1.0,1,1.877805842471024,0,0,1,0,0,1
0,5.536285640856728,30.0,1.0,1,1.8820227771269398,0,1,0,0,1,0
0,5.120635813237769,30.0,1.0,0,1.8869809594573617,1,0,0,1,0,1
1,5.228903425758459,30.0,1.0,1,1.8798886440098772,1,1,1,0,1,0
2,6.066224487560138,30.0,0.0,1,1.8794887120839099,1,0,0,0,1,0
1,5.779745387288195,30.0,1.0,1,1.8786553010489935,1,1,1,0,0,1
2,5.663069889637704,30.0,1.0,1,1.876712869672652,1,1,1,0,1,0
0,5.61822967870542,30.0,1.0,1,1.8781885555814164,0,0,1,0,1,0
0,5.071598646008971,30.0,1.0,1,1.874158726252367,0,0,0,0,0,1
0,4.579131168990252,30.0,1.0,1,1.8824522598166658,1,0,1,0,0,0
0,4.670489186205308,30.0,1.0,1,1.8700472375647086,1,0,0,0,0,1
0,5.695821213606515,30.0,1.0,0,1.8748921646241372,1,0,0,0,1,0
0,6.423545276170612,30.0,1.0,0,1.8862491775397714,0,0,0,0,1,0
3,5.706577734517924,30.0,0.0,0,1.8789024660114748,1,1,0,0,1,0
1,6.586805089032959,30.0,1.0,1,1.8841447730713272,1,1,0,1,0,1
3,5.72785712068039,30.0,1.0,1,1.881106085672357,1,1,1,1,0,0
0,5.799999084564698,30.0,1.0,1,1.8819609346577977,1,1,0,0,0,1
3,5.370643883898375,30.0,1.0,1,1.8792768342224428,1,1,1,0,1,0
0,5.779745387288195,30.0,1.0,0,1.8658531086859798,1,1,0,0,0,0
0,5.738382299244604,30.0,1.0,1,1.8807229675669532,1,1,0,0,1,0
2,4.931903965655401,30.0,0.0,0,1.8796653478123984,1,1,0,0,1,0
2,5.695821213606515,30.0,1.0,1,1.8826905046014386,0,1,0,0,1,0
0,4.692422645062117,30.0,0.0,0,1.8681925027219826,1,1,0,0,0,1
2,5.571969785568005,30.0,1.0,1,1.8811486120024088,1,1,0,0,1,0
0,5.8687740253460055,30.0,1.0,1,1.8812146542422572,1,0,0,0,1,0
0,6.140017045674485,30.0,1.0,1,1.8850016391131703,1,1,0,0,1,0
0,5.706577734517924,30.0,1.0,1,1.8820518704764184,1,1,0,0,1,0
0,6.099471644692564,30.0,1.0,0,1.8741850109004183,1,1,0,0,0,0
0,5.810022495969398,30.0,1.0,0,1.879039166528406,1,1,1,1,0,1
2,6.396796543941885,30.0,1.0,1,1.884324182521537,1,1,0,0,1,0
0,5.997420909860942,40.0,1.0,1,1.8790956159630883,1,1,0,0,1,0
0,6.327781875682761,30.0,1.0,1,1.8822894400203485,1,0,0,1,0,0
1,5.423656128997128,30.0,1.0,1,1.878556285659274,1,1,0,0,1,0
0,4.232072960757053,15.0,1.0,1,1.8760244670815487,1,1,0,0,0,0
0,5.61822967870542,30.0,1.0,1,1.8812601476203743,1,0,1,0,0,0
0,6.8082194122482305,30.0,1.0,1,1.8847425325197522,0,0,0,0,1,0
1,5.829867240010795,30.0,1.0,1,1.87951420307418,1,1,0,0,1,0
1,6.099471644692564,30.0,1.0,1,1.8828264441749405,1,1,0,0,0,0
0,6.673618052662472,30.0,1.0,0,1.8811853800911311,1,1,0,0,0,1
0,5.64082159022986,30.0,1.0,1,1.8750726379878562,0,0,0,1,0,1
1,5.524193909103803,30.0,1.0,1,1.87636016548428,0,0,0,0,0,0
1,5.315610969092569,30.0,1.0,1,1.8744650927922435,1,1,0,0,1,0
2,5.61822967870542,30.0,1.0,1,1.8868561949319824,1,1,0,0,0,0
1,5.829867240010795,15.0,1.0,0,1.8784187252095528,1,1,1,0,0,1
0,5.9707770087699465,5.0,1.0,1,1.8850785627277262,1,0,0,0,0,1
2,5.474795478432017,30.0,1.0,1,1.8838649862558334,1,1,0,1,0,0
0,5.651988014314516,30.0,1.0,1,1.8841861371598128,1,1,1,0,1,0
0,5.61822967870542,15.0,1.0,0,1.886542137907754,1,0,0,1,0,1
2,5.524193909103803,30.0,1.0,1,1.8860099463111228,1,1,0,0,0,1
1,5.799999084564698,15.0,1.0,1,1.8826051585563959,1,1,1,0,0,1
1,5.651988014314516,40.0,1.0,1,1.8790144926033479,1,1,0,0,1,0
0,5.228903425758459,30.0,1.0,1,1.8758842833674518,1,1,0,0,0,1
0,6.334826790700182,30.0,0.0,0,1.8808318290042298,1,1,1,0,1,0
2,5.810022495969398,30.0,1.0,0,1.8749285484194527,0,0,0,0,0,1
0,5.423656128997128,30.0,1.0,1,1.8790760286910257,1,0,1,1,0,0
1,6.803055160999213,15.0,1.0,1,1.8860583531402522,1,1,1,0,1,0
0,6.270206672532929,30.0,0.0,0,1.88962209835065,1,0,0,1,0,1
3,6.673618052662472,30.0,1.0,1,1.8734245118689377,0,0,0,0,0,0
0,5.560171916509316,30.0,0.0,0,1.8817127485636538,1,0,1,0,0,0
3,5.287285622362954,30.0,1.0,0,1.8802113444107225,1,1,0,0,0,1
0,6.927254882671833,30.0,1.0,0,1.8898172374165398,1,1,0,0,0,0
3,5.706577734517924,30.0,1.0,0,1.8795072595923688,1,1,1,0,1,0
1,7.046677222957741,30.0,1.0,1,1.8865048349155635,1,1,0,0,0,1
0,5.769513120461984,30.0,1.0,1,1.8777971910815259,1,0,0,0,1,0
1,5.9707770087699465,3.0,1.0,0,1.8751438286421735,0,0,0,0,1,0
0,5.61822967870542,30.0,1.0,1,1.8834263542138228,0,0,0,0,0,0
0,5.706577734517924,30.0,1.0,1,1.8800323932915974,1,0,0,1,1,0
0,5.934491784217392,30.0,1.0,1,1.8838553085045966,1,0,0,0,0,0
2,5.925280129257096,30.0,1.0,1,1.8817970639949901,1,1,0,0,1,0
3,6.014922010214485,30.0,0.0,1,1.8818786753095968,1,1,0,0,0,1
0,5.779745387288195,30.0,1.0,0,1.8748921646241372,0,0,0,0,0,0
1,5.228903425758459,30.0,1.0,1,1.8782651191308297,0,0,0,0,0,1
0,3.8074955093901885,30.0,1.0,1,1.8741279669099837,0,0,0,0,0,1
0,5.789907041600923,30.0,1.0,1,1.887079337869283,1,1,0,0,0,1
0,5.684985220588923,30.0,1.0,1,1.8789275025001588,1,0,0,0,0,0
0,5.925280129257096,30.0,1.0,1,1.8793006725851105,1,1,0,0,1,0
2,5.228903425758459,30.0,1.0,1,1.8766567497427782,1,1,0,0,1,0
1,5.560171916509316,30.0,1.0,1,1.878678568748128,1,1,0,0,1,0
0,6.376420571256281,30.0,1.0,1,1.8835128101553722,1,1,0,0,1,0
0,5.071598646008971,30.0,1.0,1,1.878174805388158,1,1,0,0,0,1
0,7.4568224912666,30.0,1.0,1,1.8889429375297275,1,1,0,0,1,0
0,5.663069889637704,30.0,1.0,1,1.877294330796178,0,1,1,0,0,0
1,5.997420909860942,30.0,0.0,0,1.882411172933392,1,0,1,1,0,1
0,5.524193909103803,30.0,1.0,1,1.8790194337599488,1,1,0,0,1,0
2,5.037942862587637,15.0,1.0,1,1.8743446185528063,1,1,0,0,0,1
0,4.5553219195406935,30.0,1.0,1,1.8751280571096638,0,0,0,0,0,1
0,5.2139290787969905,30.0,1.0,1,1.8819886723941215,1,0,0,0,0,0
0,5.357081248077048,25.0,1.0,0,1.8779345105143264,0,0,0,1,1,0
0,5.61822967870542,30.0,1.0,1,1.881107940082814,1,1,0,0,0,0
0,5.560171916509316,30.0,1.0,1,1.8773676543237137,0,0,0,0,1,0
0,6.233072280456131,30.0,1.0,1,1.88584670868491,1,0,0,0,0,0
0,5.819978234837658,30.0,1.0,1,1.8807013852158296,1,1,0,0,0,0
2,5.695821213606515,30.0,0.0,0,1.8781665438294561,1,1,0,0,1,0
2,5.769513120461984,30.0,1.0,1,1.8789847784992109,1,1,0,0,0,1
0,5.859142950787911,40.0,0.0,0,1.8805544605956246,0,0,0,0,0,1
0,6.115821895982456,30.0,1.0,1,1.8811320023588962,1,1,0,0,1,0
3,5.499704614696026,30.0,1.0,1,1.8810371217497388,1,1,0,0,0,1
1,6.327781875682761,30.0,1.0,1,1.882988881200894,1,1,0,0,1,0
1,5.779745387288195,30.0,1.0,1,1.8788672774574338,0,1,0,0,0,1
0,5.934491784217392,40.0,1.0,0,1.8838540976842255,0,0,0,0,0,0
1,5.536285640856728,30.0,1.0,0,1.8795257612389265,1,1,0,0,0,1
0,5.272911010269123,30.0,0.0,0,1.8790367027154564,1,1,1,0,0,1
0,5.436611143254308,30.0,1.0,1,1.878763291757934,1,1,1,0,1,0
0,5.748832633934957,30.0,1.0,1,1.8796653478123984,0,0,0,0,0,0
1,5.315610969092569,30.0,1.0,1,1.8749325820631477,1,1,0,0,0,1
0,5.829867240010795,30.0,1.0,1,1.8824431519091542,1,0,0,0,0,0
0,5.779745387288195,30.0,1.0,1,1.8805764940048462,0,0,0,0,0,0
0,5.423656128997128,30.0,0.0,0,1.8777798604386853,0,0,0,0,0,1
0,7.600124594501962,30.0,1.0,0,1.8908846948082905,1,0,0,0,0,0
2,6.2179580485749195,30.0,1.0,1,1.8840047582994173,1,1,1,0,0,0
0,5.136613782339565,30.0,1.0,1,1.8726035809118318,0,0,0,0,1,0
0,5.512000825111893,30.0,1.0,1,1.8803818697882149,1,0,1,0,1,0
0,4.602539115103624,30.0,1.0,1,1.870230823289782,0,0,0,0,0,0
2,5.8687740253460055,7.0,1.0,1,1.8811853800911311,1,1,0,1,0,0
0,6.0061971848252425,30.0,1.0,0,1.8779316734827545,1,1,0,0,0,0
1,5.512000825111893,15.0,1.0,1,1.879753237419319,1,1,1,0,0,1
2,5.61822967870542,30.0,1.0,1,1.8760280319965168,1,1,0,0,1,0
0,5.198796608902379,30.0,1.0,1,1.8775719149770218,1,1,0,0,0,1
1,5.524193909103803,30.0,1.0,1,1.8753771301404625,0,0,0,0,1,0
1,5.9707770087699465,30.0,1.0,0,1.8862491775397714,1,1,0,1,0,0
0,5.560171916509316,30.0,1.0,1,1.8786137636067357,1,1,0,0,1,0
3,5.663069889637704,30.0,1.0,1,1.8785194872416895,1,1,0,0,1,0
0,5.748832633934957,30.0,1.0,1,1.8818902530164192,0,0,0,0,0,0
3,6.908039974194708,30.0,1.0,1,1.8891235880128507,1,1,0,0,0,0
1,7.237897850348649,30.0,0.0,0,1.8885081487983024,1,1,0,1,0,0
0,5.72785712068039,30.0,0.0,1,1.8794747712423467,1,0,0,0,0,0
0,6.2103435603186465,30.0,1.0,1,1.8843609681034514,1,1,0,1,1,0
0,5.499704614696026,30.0,1.0,0,1.882860690762842,0,1,0,0,0,1
0,4.8370260212769125,30.0,1.0,1,1.8701852211451322,0,0,0,0,0,1
1,5.583672955662025,30.0,1.0,1,1.8819330805066952,1,0,0,0,0,1
0,5.343389931822399,30.0,1.0,1,1.8726960107610422,1,0,0,0,1,0
0,4.913431975383668,30.0,1.0,1,1.8721604530729528,1,0,0,0,0,1
0,7.630974647579119,15.0,1.0,1,1.895547086949488,1,1,0,0,0,1
1,6.194997815912515,15.0,1.0,1,1.8874143393871923,1,1,0,1,0,1
0,4.894715146761467,30.0,1.0,1,1.8862436642245273,1,1,0,1,1,0
1,6.014922010214485,30.0,1.0,1,1.8815286862364402,1,1,0,0,0,0
2,6.147995982030709,30.0,1.0,1,1.8832950065455738,1,1,0,1,0,0
0,4.913431975383668,30.0,1.0,1,1.8774764270473274,0,0,0,0,1,0
3,6.123930483223085,30.0,1.0,0,1.8776955679738427,1,1,1,0,0,0
0,4.3484731510488706,30.0,1.0,0,1.8693578139837888,0,0,0,0,0,0
1,5.997420909860942,30.0,1.0,1,1.8812528888521112,1,1,1,0,0,1
3,4.96813931958063,30.0,1.0,1,1.8738419532718724,1,1,1,0,1,0
2,5.6740685305329,30.0,1.0,1,1.8794654629177865,1,1,0,0,0,0
0,6.014922010214485,30.0,1.0,1,1.879567223230111,1,1,0,0,1,0
0,5.943646585011864,30.0,0.0,0,1.8828164206168596,1,1,1,0,0,0
2,5.684985220588923,30.0,1.0,1,1.8802134484350619,1,1,1,0,0,1
0,6.695961429870923,30.0,1.0,1,1.8869234502997438,1,1,0,0,1,0
0,6.233072280456131,30.0,1.0,1,1.8852795702516607,1,1,0,0,0,0
0,6.513621675124787,30.0,1.0,1,1.8854725699687993,1,1,0,0,1,0
